category,product,type,configuration,date,defects,units,opportunities
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Jun-23,1,105,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Jul-23,0,105,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Aug-23,0,155,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Sep-23,3,155,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Oct-23,0,155,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Nov-23,0,105,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8OXSPO2,Dec-23,1,100,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Jun-23,0,15,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Jul-23,0,10,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Aug-23,0,10,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Sep-23,2,15,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Oct-23,0,15,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Nov-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 8,MPMVIVEDVUE8NSPO2,Dec-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Jun-23,1,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Jul-23,0,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Aug-23,0,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Sep-23,0,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Oct-23,0,21,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Nov-23,0,11,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10NSPO2,Dec-23,0,23,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Jun-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Jul-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Aug-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Sep-23,0,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Oct-23,1,5,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Nov-23,0,1,1
Patient Monitor,Vivid Vue,Vivid Vue 10,MPMVIVEDVUE10MSPO2,Dec-23,0,1,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Jun-23,0,98,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Jul-23,2,98,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Aug-23,2,98,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Sep-23,6,198,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Oct-23,2,238,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Nov-23,19,257,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12MSPO2,Dec-23,1,300,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Jun-23,4,193,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Jul-23,4,216,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Aug-23,2,366,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Sep-23,0,503,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Oct-23,2,582,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Nov-23,0,570,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12NSPO2,Dec-23,5,558,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Jun-23,1,74,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Jul-23,1,174,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Aug-23,0,274,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Sep-23,3,299,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Oct-23,1,387,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Nov-23,0,387,1
Patient Monitor,Vivid Vue,Vivid Vue 12,MPMVIVEDVUE12OXSPO2,Dec-23,2,506,1
ECG,GenX,GenX3,MECGGENX3,Jun-23,3,109,1
ECG,GenX,GenX3,MECGGENX3,Jul-23,4,159,1
ECG,GenX,GenX3,MECGGENX3,Aug-23,4,159,1
ECG,GenX,GenX3,MECGGENX3,Sep-23,1,209,1
ECG,GenX,GenX3,MECGGENX3,Oct-23,3,226,1
ECG,GenX,GenX3,MECGGENX3,Nov-23,62,268,1
ECG,GenX,GenX3,MECGGENX3,Dec-23,2,268,1
ECG,GenX,GenX3,MECGGENX3S,Jun-23,6,514,1
ECG,GenX,GenX3,MECGGENX3S,Jul-23,1,515,1
ECG,GenX,GenX3,MECGGENX3S,Aug-23,3,610,1
ECG,GenX,GenX3,MECGGENX3S,Sep-23,6,733,1
ECG,GenX,GenX3,MECGGENX3S,Oct-23,4,807,1
ECG,GenX,GenX3,MECGGENX3S,Nov-23,30,787,1
ECG,GenX,GenX3,MECGGENX3S,Dec-23,5,717,1
ECG,GenX,GENX1,MECGGENX1,Jun-23,0,36,1
ECG,GenX,GENX1,MECGGENX1,Jul-23,0,56,1
ECG,GenX,GENX1,MECGGENX1,Aug-23,0,111,1
ECG,GenX,GENX1,MECGGENX1,Sep-23,0,111,1
ECG,GenX,GENX1,MECGGENX1,Oct-23,1,107,1
ECG,GenX,GENX1,MECGGENX1,Nov-23,0,107,1
ECG,GenX,GENX1,MECGGENX1,Dec-23,0,107,1
Defibrillator,Relife,Relife900,MRELIFE900R,Jun-23,1,264,1
Defibrillator,Relife,Relife900,MRELIFE900R,Jul-23,0,264,1
Defibrillator,Relife,Relife900,MRELIFE900R,Aug-23,3,284,1
Defibrillator,Relife,Relife900,MRELIFE900R,Sep-23,2,322,1
Defibrillator,Relife,Relife900,MRELIFE900R,Oct-23,0,322,1
Defibrillator,Relife,Relife900,MRELIFE900R,Nov-23,0,272,1
Defibrillator,Relife,Relife900,MRELIFE900R,Dec-23,0,212,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Jun-23,1,267,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Jul-23,0,185,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Aug-23,0,135,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Sep-23,1,125,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Oct-23,0,125,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Nov-23,0,119,1
Defibrillator,Relife,Relife900,MRELIFE900AEDPR,Dec-23,0,136,1
AWS,EFLO,EFLO7,MAMEFLO7,Jun-23,0,52,1
AWS,EFLO,EFLO7,MAMEFLO7,Jul-23,1,52,1
AWS,EFLO,EFLO7,MAMEFLO7,Aug-23,10,52,1
AWS,EFLO,EFLO7,MAMEFLO7,Sep-23,0,52,1
AWS,EFLO,EFLO7,MAMEFLO7,Oct-23,0,2,1
AWS,EFLO,EFLO7,MAMEFLO7,Nov-23,0,2,1
AWS,EFLO,EFLO7,MAMEFLO7,Dec-23,1,2,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Jun-23,3,164,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Jul-23,1,164,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Aug-23,6,149,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Sep-23,4,149,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Oct-23,2,118,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Nov-23,0,118,1
AWS,EFLO,EFLO6,MAMEFLO6-3GAS,Dec-23,4,118,1
AWS,EFLO,EFLO6,MAMEFLO6,Jun-23,7,229,1
AWS,EFLO,EFLO6,MAMEFLO6,Jul-23,9,229,1
AWS,EFLO,EFLO6,MAMEFLO6,Aug-23,15,199,1
AWS,EFLO,EFLO6,MAMEFLO6,Sep-23,16,199,1
AWS,EFLO,EFLO6,MAMEFLO6,Oct-23,12,186,1
AWS,EFLO,EFLO6,MAMEFLO6,Nov-23,0,186,1
AWS,EFLO,EFLO6,MAMEFLO6,Dec-23,13,190,1
AWS,EFLO,EFLO6,MAMEFLO6D,Jun-23,1,56,1
AWS,EFLO,EFLO6,MAMEFLO6D,Jul-23,0,56,1
AWS,EFLO,EFLO6,MAMEFLO6D,Aug-23,0,56,1
AWS,EFLO,EFLO6,MAMEFLO6D,Sep-23,0,56,1
AWS,EFLO,EFLO6,MAMEFLO6D,Oct-23,1,6,1
AWS,EFLO,EFLO6,MAMEFLO6D,Nov-23,0,6,1
AWS,EFLO,EFLO6,MAMEFLO6D,Dec-23,0,6,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Jun-23,1,50,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Jul-23,0,50,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Aug-23,0,50,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Sep-23,1,50,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Oct-23,0,0,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Nov-23,0,0,1
AWS,EFLO,EFLO6,MAMEFLO6DR,Dec-23,0,0,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Jun-23,1,66,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Jul-23,0,66,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Aug-23,2,57,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Sep-23,5,57,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Oct-23,0,8,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Nov-23,0,8,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320A,Dec-23,2,8,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Jun-23,2,63,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Jul-23,0,63,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Aug-23,1,63,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Sep-23,0,63,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Oct-23,0,13,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Nov-23,0,13,1
AWS,PRIME 320,PRIME 320,MAMPLNPRI320AAGMW/OO2MS,Dec-23,2,13,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Jun-23,4,114,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Jul-23,2,115,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Aug-23,4,125,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Sep-23,3,128,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Oct-23,4,85,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Nov-23,5,90,1
X-Ray,LF X-Ray,MRAD100,MBPLMRAD100,Dec-23,1,93,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Jun-23,1,23,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Jul-23,1,24,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Aug-23,1,24,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Sep-23,1,22,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Oct-23,2,17,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Nov-23,0,17,1
X-Ray,LF X-Ray,MRAD100,MBPLXRAD100FC,Dec-23,1,16,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Jun-23,8,26,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Jul-23,1,22,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Aug-23,4,27,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Sep-23,3,22,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Oct-23,1,21,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Nov-23,0,21,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300FC,Dec-23,0,20,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Jun-23,1,8,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Jul-23,1,8,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Aug-23,3,8,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Sep-23,1,9,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Oct-23,1,4,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Nov-23,0,4,1
X-Ray,LF X-Ray,XRAD300,MBPLXRAD300-DR1KIT,Dec-23,2,4,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Jun-23,0,17,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Jul-23,2,17,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Aug-23,1,19,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Sep-23,4,17,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Oct-23,0,17,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Nov-23,0,17,1
X-Ray,LF X-Ray,XRAD500,MBPLXRAD500FC,Dec-23,2,15,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Jun-23,0,6,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Jul-23,1,6,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Aug-23,1,8,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Sep-23,1,8,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Oct-23,0,8,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Nov-23,2,10,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+,Dec-23,0,10,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Jun-23,0,0,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Jul-23,0,0,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Aug-23,1,1,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Sep-23,0,1,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Oct-23,0,1,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Nov-23,0,1,1
X-Ray,HF X-Ray,MRAD3.6+,MBPLMRAD3.6+DR-APR,Dec-23,0,1,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Jun-23,1,1,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Jul-23,0,9,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Aug-23,1,19,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Sep-23,0,19,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Oct-23,0,19,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Nov-23,0,19,1
X-Ray,HF X-Ray,MRAD3.5,MBPLMRAD3.5DR,Dec-23,0,26,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Jun-23,0,133,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Jul-23,1,130,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Aug-23,3,125,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Sep-23,2,125,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Oct-23,1,125,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Nov-23,0,125,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0,Dec-23,4,92,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Jun-23,2,31,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Jul-23,1,33,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Aug-23,9,29,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Sep-23,10,29,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Oct-23,3,29,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Nov-23,3,32,1
X-Ray,HF X-Ray,MRAD5.0,MBPLMRAD5.0DR,Dec-23,10,32,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Jun-23,0,58,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Jul-23,0,60,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Aug-23,1,60,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Sep-23,0,61,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Oct-23,1,11,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Nov-23,0,11,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32GEN-DR1KIT,Dec-23,3,10,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Jun-23,0,51,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Jul-23,0,51,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Aug-23,1,51,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Sep-23,0,51,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Oct-23,0,1,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Nov-23,0,1,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32-DR1,Dec-23,0,1,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Jun-23,1,62,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Jul-23,3,60,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Aug-23,1,58,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Sep-23,1,59,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Oct-23,0,9,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Nov-23,0,9,1
X-Ray,HF X-Ray,HRAD32,MBPLHRAD32PXR-FC,Dec-23,3,9,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Jun-23,0,51,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Jul-23,0,51,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Aug-23,0,51,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Sep-23,1,51,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Oct-23,0,1,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Nov-23,0,1,1
X-Ray,HF X-Ray,HRAD50,MBPLHRAD50GEN-DR2KIT,Dec-23,0,1,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Jun-23,0,0,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Jul-23,0,0,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Aug-23,1,2,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Sep-23,0,2,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Oct-23,0,2,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Nov-23,0,0,1
X-Ray,HF X-Ray,HRAD50,MBPLH-RAD50,Dec-23,0,0,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Jun-23,2,76,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Jul-23,1,82,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Aug-23,3,90,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Sep-23,2,94,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Oct-23,1,49,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Nov-23,0,49,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSXMED1K,Dec-23,3,51,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Jun-23,2,63,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Jul-23,1,59,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Aug-23,1,55,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Sep-23,0,51,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Oct-23,0,1,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Nov-23,0,1,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXSI,Dec-23,0,1,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Jun-23,3,86,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Jul-23,7,81,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Aug-23,0,76,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Sep-23,4,71,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Oct-23,2,21,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Nov-23,0,21,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPROPLUSMXDI,Dec-23,1,16,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Jun-23,1,53,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Jul-23,0,52,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Aug-23,1,52,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Sep-23,0,52,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Oct-23,1,2,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Nov-23,0,2,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYPXMED1KMG-RA,Dec-23,1,2,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Jun-23,2,52,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Jul-23,1,50,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Aug-23,0,50,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Sep-23,1,50,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Oct-23,0,0,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Nov-23,0,0,1
C-Arm,C-Arm,CRAY PRO PLUS,MBPLCRAYP,Dec-23,0,0,1
